,DNI,EDAD,DEPARTAMENTO,UNIVERSIDAD,SEXO,NIVEL DE ESTRES
,79520949,17,LIMA,ULIMA,MASCULINO,4
,67632113,25,LIMA,UPC,MASCULINO,3
,78719952,24,LIMA,UPC,MASCULINO,2
,70128177,29,CUZCO,UNSAAC,MASCULINO,3
,78937379,25,LIMA,UNI,MASCULINO,5
,70372947,23,LIMA,ULIMA,FEMENINO,5
,66003014,20,PIURA,UDEP,MASCULINO,3
,69098678,21,LIMA,UPC,FEMENINO,5
,65965221,30,LIMA,UPC,FEMENINO,4
,76235865,28,PIURA,UDEP,MASCULINO,4
,72027408,18,CUZCO,UNSAAC,FEMENINO,5
,70320732,20,CUZCO,UAUSTRAL,MASCULINO,4
,60928206,21,LIMA,PUCP,MASCULINO,2
,73125561,26,PIURA,UDEP,FEMENINO,1
,68439873,25,TRUJILLO,UPAO,FEMENINO,1
,70035105,18,PIURA,UDEP,MASCULINO,4
,68749938,21,PIURA,UDEP,FEMENINO,1
,60573666,30,LIMA,ULIMA,FEMENINO,2
,78227995,24,LIMA,PUCP,FEMENINO,2
,77171327,18,LIMA,UPC,MASCULINO,1
,62385718,28,PIURA,UDEP,MASCULINO,5
,76215359,19,LIMA,UPC,FEMENINO,4
,66557284,23,LIMA,PUCP,FEMENINO,4
,75251206,21,PIURA,UPN,FEMENINO,3
,71301413,25,LIMA,UNI,MASCULINO,4
,77241727,25,AREQUIPA,UNSA,FEMENINO,5
,67840492,29,LIMA,PUCP,MASCULINO,2
,64376304,24,TRUJILLO,UPAO,MASCULINO,4
,75813215,18,HUANUCO,UNHEVAL,MASCULINO,2
,78988627,28,LIMA,UPC,MASCULINO,5
,64694070,18,CUZCO,UNSAAC,FEMENINO,4
,66477372,20,AREQUIPA,UNSA,FEMENINO,2
,71617828,29,LIMA,UNI,MASCULINO,1
,77917532,22,LIMA,PUCP,FEMENINO,2
,77394223,19,AREQUIPA,UNSA,FEMENINO,1
,75472762,22,LIMA,UPC,FEMENINO,3
,61886004,27,HUANUCO,UNH,FEMENINO,1
,72259144,18,LIMA,UPC,FEMENINO,1
,65875764,27,CUZCO,UAUSTRAL,FEMENINO,1
,69266312,17,CUZCO,UAUSTRAL,FEMENINO,4
,64155923,19,CUZCO,UNSAAC,MASCULINO,1
,60643149,30,LIMA,UNI,FEMENINO,4
,68459571,17,LIMA,UNI,FEMENINO,1
,71361859,21,AREQUIPA,UCSM,FEMENINO,1
,77870893,27,LIMA,UPC,FEMENINO,2
,70713149,29,LIMA,ULIMA,FEMENINO,3
,73739708,25,PIURA,UPN,MASCULINO,1
,67382927,26,CUZCO,UNSAAC,FEMENINO,3
,63345349,23,LIMA,ULIMA,MASCULINO,5
,73481451,23,LIMA,PUCP,MASCULINO,3
,60930257,25,LIMA,UNI,MASCULINO,3
,77938181,18,PIURA,UPN,FEMENINO,2
,71098566,25,CUZCO,UNSAAC,FEMENINO,4
,64653187,22,AREQUIPA,UCSM,FEMENINO,4
,63584060,28,LIMA,PUCP,MASCULINO,1
,79138423,30,AREQUIPA,UCSM,FEMENINO,1
,73368426,26,HUANUCO,UNHEVAL,FEMENINO,4
,66232029,22,AREQUIPA,UCSM,MASCULINO,2
,79632313,24,LIMA,PUCP,MASCULINO,1
